SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
264.0,1412.5,547.0,540.0,45.5,52.0,515.0,1820.0,103.0,413.3333333333333,110.0
264.0,1412.5,547.0,540.0,45.0,52.0,515.0,1092.0,103.0,413.3333333333333,101.0
264.0,1412.5,547.0,540.0,41.0,52.0,515.0,360.0,103.0,413.3333333333333,95.0
264.0,1412.5,547.0,540.0,38.0,52.0,515.0,343.0,103.0,413.3333333333333,89.5
264.0,1412.5,547.0,540.0,34.0,52.0,515.0,309.0,103.0,413.3333333333333,81.5
264.0,1412.5,547.0,540.0,33.0,52.0,515.0,286.0,103.0,413.3333333333333,84.0
264.0,1412.5,547.0,540.0,34.0,52.0,515.0,272.0,103.0,413.3333333333333,88.0
264.0,1412.5,547.0,540.0,36.5,52.0,515.0,293.0,103.0,413.3333333333333,100.0
264.0,1412.5,547.0,545.0,47.0,52.0,515.0,328.5,103.0,413.3333333333333,113.5
264.0,1412.5,547.0,547.5,51.5,52.0,515.0,378.5,103.0,413.3333333333333,141.5
264.0,1412.5,547.0,550.0,50.0,52.0,515.0,424.0,103.0,413.3333333333333,167.0
264.0,1412.5,547.0,560.0,50.0,52.0,515.0,445.0,103.0,413.3333333333333,169.5
264.0,1412.5,547.0,570.0,47.0,52.0,515.0,461.0,103.0,413.3333333333333,156.0
264.0,1412.5,547.0,575.5,43.0,52.0,515.0,458.0,103.0,413.3333333333333,140.5
264.0,1412.5,547.0,585.0,42.0,52.0,515.0,402.5,103.0,413.3333333333333,127.0
264.0,1412.5,547.0,601.5,42.0,52.0,515.0,362.5,103.0,413.3333333333333,121.0
264.0,1412.5,547.0,610.0,42.5,52.0,515.0,358.5,103.0,413.3333333333333,133.5
264.0,1412.5,547.0,610.0,51.0,52.0,515.0,368.5,103.0,413.3333333333333,140.0
264.0,1412.5,547.0,610.0,57.0,52.0,515.0,400.0,103.0,413.3333333333333,143.0
264.0,1412.5,547.0,612.5,55.0,52.0,515.0,398.5,103.0,413.3333333333333,153.5
264.0,1412.5,547.0,615.0,54.0,52.0,515.0,398.0,103.0,413.3333333333333,150.0
264.0,1412.5,547.0,630.0,54.0,52.0,515.0,398.0,103.0,413.3333333333333,150.0
264.0,1412.5,547.0,633.0,52.5,52.0,515.0,394.0,103.0,413.3333333333333,139.5
264.0,1412.5,547.0,636.0,50.0,52.0,515.0,398.0,103.0,413.3333333333333,133.5
264.0,1412.5,547.0,642.5,50.0,52.0,515.0,399.5,103.0,413.3333333333333,139.5
264.0,1412.5,547.0,649.0,50.0,52.0,515.0,400.0,103.0,413.3333333333333,151.5
264.0,1412.5,547.0,656.0,50.0,52.0,515.0,400.0,103.0,413.3333333333333,160.0
264.0,1412.5,547.0,656.0,50.0,52.0,515.0,402.5,103.0,413.3333333333333,152.0
264.0,1412.5,547.0,656.0,48.0,52.0,515.0,410.0,103.0,413.3333333333333,144.0
264.0,1412.5,547.0,663.0,47.0,52.0,515.0,413.0,103.0,413.3333333333333,137.0
264.0,1412.5,547.0,686.0,49.0,52.0,515.0,426.5,103.0,413.3333333333333,143.5
264.0,1412.5,547.0,692.0,50.0,52.0,515.0,420.0,103.0,413.3333333333333,151.0
264.0,1412.5,547.0,692.0,50.0,52.0,515.0,412.0,103.0,413.3333333333333,151.0
264.0,1412.5,547.0,692.0,50.0,52.0,515.0,403.0,103.0,413.3333333333333,155.0
264.0,1412.5,547.0,692.0,50.0,52.0,515.0,405.0,103.0,413.3333333333333,162.0
