DATE,Texc
23/11/2011,0.0068729
25/11/2011,0.0136056
28/11/2011,-0.0067797
30/11/2011,-0.006826
05/12/2011,0
06/12/2011,0
07/12/2011,0
08/12/2011,0
09/12/2011,0.0067797
13/12/2011,0.006734
14/12/2011,0
15/12/2011,0
16/12/2011,0
19/12/2011,0
20/12/2011,0
21/12/2011,0
22/12/2011,0
23/12/2011,0
28/12/2011,0.006689
30/12/2011,0
03/01/2012,-0.006689
04/01/2012,0.006689
05/01/2012,0.0066445
06/01/2012,0.0066007
10/01/2012,0
11/01/2012,0.0065574
12/01/2012,-0.0065574
13/01/2012,0.0065574
17/01/2012,0
18/01/2012,0
19/01/2012,-0.0065574
20/01/2012,0
24/01/2012,-0.0066445
25/01/2012,0
26/01/2012,0.0066445
27/01/2012,-0.0066445
30/01/2012,0
31/01/2012,0.0066445
02/02/2012,0.0066445
03/02/2012,0
06/02/2012,-0.0066445
08/02/2012,0
09/02/2012,0
10/02/2012,0.0066445
13/02/2012,-0.0066445
14/02/2012,0
15/02/2012,0.0132452
16/02/2012,-0.0066007
17/02/2012,0
21/02/2012,0
22/02/2012,0
23/02/2012,-0.0066445
24/02/2012,-0.006689
28/02/2012,0
29/02/2012,0.006689
01/03/2012,0
02/03/2012,0.0066445
05/03/2012,0
07/03/2012,0
08/03/2012,-0.0066445
09/03/2012,0.0132452
13/03/2012,0.0066007
14/03/2012,0
15/03/2012,0
16/03/2012,-0.0066007
19/03/2012,0
21/03/2012,0
22/03/2012,0
26/03/2012,-0.0066445
27/03/2012,0
28/03/2012,0
29/03/2012,0
30/03/2012,0
02/04/2012,0
03/04/2012,0.0066445
04/04/2012,0.0066007
05/04/2012,0
10/04/2012,0.0065574
11/04/2012,0
12/04/2012,-0.0065574
13/04/2012,0.0065574
16/04/2012,0
17/04/2012,0
18/04/2012,0
19/04/2012,-0.0065574
20/04/2012,0
23/04/2012,0.0065574
24/04/2012,0
25/04/2012,0
26/04/2012,0.0065147
27/04/2012,0
30/04/2012,-0.0065147
02/05/2012,0.0065147
03/05/2012,0
04/05/2012,0.0064725
07/05/2012,0
08/05/2012,0.0064309
09/05/2012,0
10/05/2012,0
11/05/2012,0
14/05/2012,0.0063899
15/05/2012,0.0126584
16/05/2012,0
17/05/2012,-0.0063092
18/05/2012,0
21/05/2012,0
22/05/2012,0.0063092
23/05/2012,0.0062696
24/05/2012,0.0062306
29/05/2012,0.0062306
30/05/2012,0.006192
31/05/2012,0
05/06/2012,0.006192
06/06/2012,-0.0124225
07/06/2012,0.0062306
08/06/2012,0
11/06/2012,0.006192
12/06/2012,-0.006192
13/06/2012,-0.0062306
15/06/2012,0
18/06/2012,0
19/06/2012,-0.0063092
20/06/2012,0.0063092
21/06/2012,0.0062696
22/06/2012,-0.0062696
25/06/2012,0.0062696
26/06/2012,-0.0062696
27/06/2012,0.0062696
28/06/2012,0
29/06/2012,-0.0125788
03/07/2012,0
05/07/2012,0.0125002
06/07/2012,0
09/07/2012,0.006192
10/07/2012,0.0061539
12/07/2012,0
13/07/2012,0
16/07/2012,-0.0061539
17/07/2012,0
18/07/2012,0
19/07/2012,0
20/07/2012,0.0061539
24/07/2012,0
26/07/2012,-0.0122701
27/07/2012,0
30/07/2012,0
31/07/2012,0
01/08/2012,0
02/08/2012,0.0061539
03/08/2012,-0.0123458
07/08/2012,0
08/08/2012,0
09/08/2012,0.006192
14/08/2012,0
16/08/2012,0
17/08/2012,0
21/08/2012,-0.006192
22/08/2012,-0.0062306
23/08/2012,0
24/08/2012,0
27/08/2012,0
28/08/2012,0
29/08/2012,0
30/08/2012,0.0062306
31/08/2012,-0.0062306
04/09/2012,0
05/09/2012,0
06/09/2012,-0.0062696
07/09/2012,-0.0063092
11/09/2012,-0.0063492
12/09/2012,0
13/09/2012,0
14/09/2012,-0.0128208
17/09/2012,0
18/09/2012,0.0064309
19/09/2012,0
24/09/2012,0
25/09/2012,0
26/09/2012,0
27/09/2012,0
28/09/2012,0.0063492
01/10/2012,-0.0063492
02/10/2012,0
03/10/2012,0
04/10/2012,-0.0063899
05/10/2012,0
09/10/2012,0.0063899
10/10/2012,0
11/10/2012,0
12/10/2012,0
16/10/2012,-0.0063899
17/10/2012,0
18/10/2012,0
19/10/2012,0
22/10/2012,0
23/10/2012,0.0063899
24/10/2012,0
25/10/2012,0
29/10/2012,0.0063492
30/10/2012,-0.0063492
01/11/2012,0
05/11/2012,0.0063092
06/11/2012,0
07/11/2012,0
08/11/2012,0
09/11/2012,0
14/11/2012,-0.0062696
20/11/2012,-0.0063092
21/11/2012,0
23/11/2012,-0.0063492
26/11/2012,0
27/11/2012,0.0063492
28/11/2012,0
30/11/2012,0.0063492
03/12/2012,-0.0063492
04/12/2012,-0.0063899
05/12/2012,0.0063899
06/12/2012,0
10/12/2012,0
11/12/2012,-0.0063492
13/12/2012,0
14/12/2012,-0.0063899
17/12/2012,0
18/12/2012,-0.0064309
19/12/2012,0.0064309
20/12/2012,-0.0064309
21/12/2012,0
27/12/2012,0
28/12/2012,0
31/12/2012,0
03/01/2013,0.0064309
04/01/2013,0.0063899
07/01/2013,-0.0063899
09/01/2013,0
10/01/2013,-0.0128208
11/01/2013,0
15/01/2013,0
16/01/2013,0.0064309
17/01/2013,-0.0064309
18/01/2013,0.0064309
22/01/2013,0
23/01/2013,0
25/01/2013,-0.0064309
29/01/2013,-0.0064725
30/01/2013,0
31/01/2013,0
04/02/2013,0
05/02/2013,0
