DATE,Tun
24/05/2011,0.0010777
26/05/2011,-0.0052099
27/05/2011,0.0061121
31/05/2011,0.0011406
02/06/2011,0.0002098
03/06/2011,-0.0010576
07/06/2011,-0.0001917
08/06/2011,0.0050831
09/06/2011,0.0022736
10/06/2011,-0.0030785
13/06/2011,0.0054426
14/06/2011,0.0079002
15/06/2011,0.0032482
16/06/2011,0.0030489
17/06/2011,-0.0033112
20/06/2011,-0.0036707
21/06/2011,0.000947
22/06/2011,0.0015697
23/06/2011,0.0105019
24/06/2011,0.0095329
27/06/2011,0.0005932
28/06/2011,0.0000792
29/06/2011,0.001853
30/06/2011,-0.0027447
05/07/2011,-0.004777
06/07/2011,0.0073738
07/07/2011,0.0063248
08/07/2011,0.0036306
12/07/2011,0.0047064
13/07/2011,0.0010481
14/07/2011,-0.0019503
15/07/2011,0.0018215
18/07/2011,-0.00002
19/07/2011,-0.0012255
20/07/2011,0.0036974
21/07/2011,0.0084829
22/07/2011,0.0032959
26/07/2011,0.0035667
27/07/2011,-0.0014305
28/07/2011,-0.0012808
29/07/2011,0.0012941
02/08/2011,0.0014486
03/08/2011,0.00278
04/08/2011,0.0056009
05/08/2011,0.0030899
08/08/2011,-0.0083389
10/08/2011,0.0139933
11/08/2011,-0.0064087
12/08/2011,0.0007715
15/08/2011,0.0046148
16/08/2011,0.0022631
17/08/2011,0.0064049
18/08/2011,0.0073576
19/08/2011,-0.0043974
24/08/2011,0.0058565
26/08/2011,0.0019293
29/08/2011,0.0035458
06/09/2011,-0.0081253
07/09/2011,0.0030327
08/09/2011,0.0018892
09/09/2011,0.000452
13/09/2011,0.000227
14/09/2011,0.0007315
15/09/2011,-0.002327
16/09/2011,0.005662
19/09/2011,0.0011692
20/09/2011,0.0070877
22/09/2011,0.0092916
23/09/2011,0.001812
26/09/2011,-0.0016232
27/09/2011,0.001153
28/09/2011,0.0001631
29/09/2011,-0.0004282
30/09/2011,0.0004797
03/10/2011,0.0030041
04/10/2011,0.0032358
05/10/2011,0.0014839
06/10/2011,-0.0025911
07/10/2011,0.0009909
11/10/2011,-0.0054893
14/10/2011,0.0013666
19/10/2011,0.0000563
21/10/2011,-0.0020351
24/10/2011,-0.0193844
27/10/2011,0.0027828
28/10/2011,-0.001029
31/10/2011,0.0044842
03/11/2011,-0.0003281
04/11/2011,0.0017328
08/11/2011,0.0036011
09/11/2011,-0.0008125
10/11/2011,0.0002022
14/11/2011,0.0028839
15/11/2011,-0.00033
16/11/2011,-0.0020876
17/11/2011,0.0026884
21/11/2011,-0.0012693
22/11/2011,0.0005951
23/11/2011,-0.0003519
25/11/2011,0.0000172
28/11/2011,-0.0000315
30/11/2011,-0.0046558
05/12/2011,-0.003767
06/12/2011,-0.0046825
07/12/2011,-0.0007553
08/12/2011,0.0004282
09/12/2011,-0.001112
13/12/2011,0.0087595
14/12/2011,0.0039692
15/12/2011,-0.0031061
16/12/2011,-0.0019569
19/12/2011,-0.0000257
20/12/2011,-0.0027657
21/12/2011,0.0016241
22/12/2011,0.0016422
23/12/2011,-0.0018578
28/12/2011,0.0019703
30/12/2011,0.0044022
03/01/2012,0.0045671
04/01/2012,0.003067
