DATE,Msem
30/01/2012,0.0023398
31/01/2012,-0.0061665
02/02/2012,0.001585
03/02/2012,0.0008187
06/02/2012,-0.0020595
08/02/2012,0.0024519
09/02/2012,-0.0002179
10/02/2012,-0.0001473
13/02/2012,-0.0043578
14/02/2012,-0.0054016
15/02/2012,0.0050836
16/02/2012,-0.0020523
17/02/2012,0.0013995
21/02/2012,-0.0037699
22/02/2012,-0.001791
23/02/2012,-0.0019321
24/02/2012,-0.0047088
28/02/2012,-0.0080829
29/02/2012,-0.0061278
01/03/2012,0.0035911
02/03/2012,0.0001068
05/03/2012,-0.0008373
07/03/2012,-0.0004997
08/03/2012,-0.0061383
09/03/2012,-0.0002432
13/03/2012,0.0017514
14/03/2012,-0.0028663
15/03/2012,-0.0016718
16/03/2012,-0.001163
19/03/2012,-0.0030537
21/03/2012,0.0007725
22/03/2012,0.0015779
26/03/2012,0.0001078
27/03/2012,0.0020843
28/03/2012,0.003417
29/03/2012,0.0113983
30/03/2012,0.0068173
02/04/2012,-0.0050459
03/04/2012,0.0025401
04/04/2012,0.001708
05/04/2012,-0.0021691
10/04/2012,0.0017419
11/04/2012,-0.0007262
12/04/2012,0.0003052
13/04/2012,0.0006771
16/04/2012,-0.0023494
17/04/2012,-0.003325
18/04/2012,-0.0012336
19/04/2012,0.0017076
20/04/2012,-0.0006247
23/04/2012,0.0011601
24/04/2012,-0.0006747
25/04/2012,0.0014601
26/04/2012,-0.0004954
27/04/2012,0.000618
30/04/2012,0.000885
02/05/2012,0.0010061
03/05/2012,0.0000944
04/05/2012,-0.0008559
07/05/2012,-0.0012355
08/05/2012,0.0028248
09/05/2012,0.0018253
10/05/2012,-0.0025864
11/05/2012,0.0002446
14/05/2012,0.0032444
15/05/2012,0.0013671
16/05/2012,0.0070701
17/05/2012,0.0032015
18/05/2012,-0.0029383
21/05/2012,0.0025768
22/05/2012,-0.0014462
23/05/2012,-0.0019321
24/05/2012,-0.0037155
29/05/2012,-0.0047956
30/05/2012,0.0021629
31/05/2012,-0.0025783
05/06/2012,-0.0017395
06/06/2012,-0.0020323
07/06/2012,-0.0006132
08/06/2012,0.00073
11/06/2012,-0.0009308
12/06/2012,-0.0017362
13/06/2012,0.000402
15/06/2012,-0.0016532
18/06/2012,-0.0011077
19/06/2012,0.0005765
20/06/2012,-0.0018253
21/06/2012,-0.0012727
22/06/2012,-0.0009432
25/06/2012,0.0048461
26/06/2012,-0.002821
27/06/2012,-0.0047469
28/06/2012,0.0004725
29/06/2012,-0.0003939
03/07/2012,0.0008993
05/07/2012,-0.0019178
06/07/2012,-0.0005407
09/07/2012,-0.0070477
10/07/2012,-0.0017657
12/07/2012,-0.0011735
13/07/2012,0.0010881
16/07/2012,0.0002623
17/07/2012,-0.0030513
18/07/2012,-0.0022068
19/07/2012,-0.0012426
20/07/2012,-0.0011702
24/07/2012,-0.0001602
26/07/2012,-0.0003953
27/07/2012,0.0024552
30/07/2012,0.0026031
31/07/2012,-0.0013065
01/08/2012,0.0015631
02/08/2012,-0.0005531
03/08/2012,-0.0024896
07/08/2012,0.0009112
08/08/2012,-0.0054393
09/08/2012,-0.0025949
14/08/2012,-0.000411
16/08/2012,-0.0017838
17/08/2012,-0.0037408
21/08/2012,0.0002093
22/08/2012,-0.0036488
23/08/2012,-0.0034518
24/08/2012,-0.0013661
27/08/2012,-0.0066113
28/08/2012,-0.0036454
29/08/2012,-0.0026474
30/08/2012,-0.0007496
31/08/2012,0.0031953
04/09/2012,0.0042014
05/09/2012,0.0021
06/09/2012,-0.0019464
07/09/2012,0.0009737
11/09/2012,0.0035758
12/09/2012,-0.001224
13/09/2012,-0.0011663
14/09/2012,0.0033541
17/09/2012,0.0016961
18/09/2012,0.0015121
19/09/2012,0.0055528
24/09/2012,-0.0005536
25/09/2012,-0.0016685
26/09/2012,-0.010047
27/09/2012,0.0057225
28/09/2012,-0.0011911
01/10/2012,-0.0019102
02/10/2012,0.0011759
03/10/2012,-0.0018587
04/10/2012,-0.0004354
05/10/2012,-0.0001769
09/10/2012,-0.0000296
10/10/2012,0.0010247
11/10/2012,-0.0013018
12/10/2012,-0.0031629
16/10/2012,-0.002666
17/10/2012,0.0004792
18/10/2012,0.0032663
19/10/2012,-0.0006075
22/10/2012,-0.0001063
23/10/2012,0.0007081
24/10/2012,-0.0011392
25/10/2012,-0.0015597
29/10/2012,-0.0044708
30/10/2012,-0.0099669
01/11/2012,-0.0041823
05/11/2012,0.0021353
06/11/2012,-0.000493
07/11/2012,0.0010338
08/11/2012,-0.0001321
09/11/2012,-0.0032849
14/11/2012,-0.0024924
20/11/2012,-0.0024085
21/11/2012,0.0014553
23/11/2012,0.0061421
26/11/2012,0.0025992
27/11/2012,-0.0007777
28/11/2012,0.0021291
30/11/2012,0.0037942
03/12/2012,0.0035963
04/12/2012,-0.0009604
05/12/2012,0.0030017
06/12/2012,0.0059237
10/12/2012,0.0012636
11/12/2012,-0.001123
13/12/2012,-0.0009303
14/12/2012,-0.0024667
17/12/2012,0.0027304
18/12/2012,-0.0007257
19/12/2012,0.001965
20/12/2012,0.0053968
21/12/2012,-0.0005932
27/12/2012,0.0030379
28/12/2012,0.0007291
31/12/2012,0.002017
03/01/2013,-0.0002537
04/01/2013,0.0003867
07/01/2013,-0.0000577
09/01/2013,0.0015678
10/01/2013,0.0048199
11/01/2013,0.0071616
15/01/2013,0.0063238
16/01/2013,-0.0012851
17/01/2013,-0.000134
18/01/2013,-0.000783
22/01/2013,-0.0020843
23/01/2013,0.0004821
25/01/2013,0.0009451
29/01/2013,0.0014114
30/01/2013,0.0019827
31/01/2013,0.0019069
04/02/2013,0.0030389
05/02/2013,0.0008631
06/02/2013,0.0018959
07/02/2013,0.0019798
08/02/2013,0.0024109
11/02/2013,0.0030794
12/02/2013,0.0018945
13/02/2013,0.0033474
14/02/2013,0.0001035
15/02/2013,0.0064931
19/02/2013,0.0046468
20/02/2013,0.0044856
22/02/2013,0.0046887
27/02/2013,-0.002872
28/02/2013,0.0014262
01/03/2013,0.004704
05/03/2013,0.0043716
07/03/2013,-0.001977
08/03/2013,0.0008779
11/03/2013,0.001606
13/03/2013,0.0038042
14/03/2013,0.0069222
15/03/2013,0.0005431
18/03/2013,0.0003076
19/03/2013,-0.0018854
21/03/2013,0.0009794
22/03/2013,-0.0031886
25/03/2013,0.0001836
26/03/2013,0.0043135
27/03/2013,0.0016356
28/03/2013,0.0051813
02/04/2013,-0.0007329
03/04/2013,-0.0027852
04/04/2013,-0.0027561
05/04/2013,-0.0014071
08/04/2013,0.0019193
10/04/2013,0.0006738
12/04/2013,-0.0007048
15/04/2013,-0.005444
16/04/2013,0.0011973
17/04/2013,0.0015993
18/04/2013,-0.0017357
19/04/2013,-0.000567
22/04/2013,0.0003939
23/04/2013,0.0001678
24/04/2013,-0.0014234
25/04/2013,-0.0021572
26/04/2013,0.0007954
29/04/2013,0.0038552
30/04/2013,0.0032344
02/05/2013,0.0041771
03/05/2013,0.0008116
06/05/2013,0
07/05/2013,0.0000257
08/05/2013,0.0062666
09/05/2013,0.005847
10/05/2013,0.0036302
13/05/2013,0.0021272
14/05/2013,-0.0041199
15/05/2013,0.003118
16/05/2013,-0.0022364
17/05/2013,0.0014849
20/05/2013,-0.003788
21/05/2013,0.0005593
22/05/2013,0.0000515
23/05/2013,-0.0004778
24/05/2013,-0.0023904
04/06/2013,0.0019865
05/06/2013,0
06/06/2013,0.0002723
07/06/2013,-0.0053697
10/06/2013,-0.0017166
11/06/2013,0.0018148
12/06/2013,-0.0002322
13/06/2013,-0.0021472
14/06/2013,-0.0009117
17/06/2013,-0.0017433
18/06/2013,0.0044765
19/06/2013,-0.000967
20/06/2013,-0.0012274
21/06/2013,0.0006528
24/06/2013,-0.0047278
25/06/2013,-0.0030632
26/06/2013,-0.004796
28/06/2013,0.0006475
02/07/2013,-0.0003667
03/07/2013,-0.0047321
05/07/2013,-0.0029263
08/07/2013,-0.0089469
09/07/2013,-0.0005598
10/07/2013,-0.0037274
12/07/2013,-0.0052943
15/07/2013,-0.0009193
16/07/2013,0.0014834
17/07/2013,-0.0043221
18/07/2013,0.0046763
19/07/2013,-0.0003438
22/07/2013,0.0015883
23/07/2013,0.0006804
24/07/2013,0.0010123
26/07/2013,0.0002251
29/07/2013,0.0002785
30/07/2013,0.0001717
31/07/2013,-0.0002518
01/08/2013,0.0019751
02/08/2013,0.0005403
05/08/2013,0.0000749
06/08/2013,0.0028338
07/08/2013,-0.0035772
12/08/2013,0.0003533
15/08/2013,0.0044746
16/08/2013,0.0025187
19/08/2013,0.0036311
20/08/2013,0.00106
21/08/2013,0.0037823
22/08/2013,0.0048084
23/08/2013,0.0041823
26/08/2013,0.0031223
27/08/2013,-0.0003424
28/08/2013,-0.0013037
29/08/2013,0.0026727
30/08/2013,-0.0003319
03/09/2013,-0.0000257
04/09/2013,0.0029454
05/09/2013,0.0005012
06/09/2013,-0.0008993
11/09/2013,0.0058708
12/09/2013,-0.0025067
13/09/2013,0.0006323
16/09/2013,0.0037503
17/09/2013,0.0060501
18/09/2013,-0.0030947
19/09/2013,0.0004544
20/09/2013,0.0014124
24/09/2013,-0.0051551
25/09/2013,-0.0007987
26/09/2013,0.0003123
27/09/2013,0.0028629
30/09/2013,0.0013471
02/10/2013,-0.0014372
03/10/2013,-0.0003519
07/10/2013,0.0024195
09/10/2013,0.0028896
10/10/2013,0.0000257
14/10/2013,-0.0011621
18/10/2013,0.0006719
23/10/2013,0.0022902
24/10/2013,0.0051894
25/10/2013,0.003325
28/10/2013,0.0032797
29/10/2013,0.0068374
30/10/2013,0.00176
31/10/2013,0.0039082
06/11/2013,-0.000329
07/11/2013,0.0022259
08/11/2013,-0.0007744
12/11/2013,-0.0087361
13/11/2013,0.0053692
14/11/2013,0.0009632
15/11/2013,0.0075655
19/11/2013,-0.0001369
20/11/2013,0.0005336
21/11/2013,-0.0006757
22/11/2013,-0.0017347
25/11/2013,-0.0023179
26/11/2013,-0.0017915
27/11/2013,0.0004287
29/11/2013,0.0003295
02/12/2013,0.0000987
03/12/2013,0.0036249
04/12/2013,-0.0014572
09/12/2013,0.0046954
10/12/2013,0.003263
11/12/2013,0.0021935
16/12/2013,0.0030098
17/12/2013,-0.0001154
18/12/2013,-0.0013618
19/12/2013,-0.0019536
20/12/2013,0.0030112
23/12/2013,0.0042858
24/12/2013,0.0003605
27/12/2013,0.0020347
30/12/2013,0.0003057
31/12/2013,0.0020065
03/01/2014,0.0069804
06/01/2014,0.0065789
07/01/2014,0.0040493
15/01/2014,0.0011744
16/01/2014,0.0017266
21/01/2014,-0.0031548
22/01/2014,-0.0012188
23/01/2014,-0.0029941
24/01/2014,-0.0013938
28/01/2014,-0.0035663
29/01/2014,-0.004127
30/01/2014,-0.0046759
03/02/2014,-0.0060425
04/02/2014,-0.0068359
